StudentId,Age,Gender,Major,MajorChange,AverageGrades,Absense,AdvideMentoring,Ethnicity,LanguageNative,FinancialSituation,FatherEducation,MotherEducation,MotherOccupation,FatherOccupation,MentalHealthStatus,PhysicalHealthStatus,FamilySupport,FamilyFinancialSupport,PeerSupport,AcademicActivities,ClubActivities,InternetUsageForStudy,OnlineToolsUsage,SocialMediaTime,FacilityQuality,TeachingQuality,RecentLifeEvent,LocalEconomicCondition,LocalCulturalLevel,PartTimeJob,PartTimeHours,Dropout
11,20,Nữ,Ngành Quản trị Kinh doanh (PSU),Có Chuyển Khi Nhập Học,2.4,Cao,4,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Đại Học,Khác,Lao động tự do,Tốt,Không tốt,Không,Có,Không,Có,Không,Không,Có,Nhiều hơn 2 tiếng,Tốt,Tốt,Không,Chưa tốt,Cao,Có,4,TRUE
12,20,Nữ,Ngành Logistics & Quản lý Chuỗi cung ứng,Không,2.5,Cao,4,Khác,Tiếng Anh,Tốt,Cao Đẳng,Đại Học,Lao động tự do,Khác,Không tốt,Không tốt,Có,Có,Không,Có,Có,Không,Có,Nhiều hơn 2 tiếng,Tốt,Rất tốt,Có,Tốt,Cao,Không,0,FALSE
13,20,Nữ,Ngành Kỹ thuật Điều khiển và Tự động hóa,Có Chuyển Khi Nhập Học,3.9,Thấp,9,Khác,Khác,Tốt,Đại Học,Cao Đẳng,Khác,Nội trợ,Tốt,Không tốt,Có,Có,Không,Có,Có,Không,Không,Ít hơn 2 tiếng,Rất tốt,Rất tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
14,19,Nam,Ngành Quản trị Nhân lực,Không,1.3,Cao,4,Khác,Tiếng Anh,Không tốt,Đại Học,Thấp hơn,Kinh doanh,Khác,Không tốt,Không tốt,Có,Có,Không,Có,Có,Không,Không,Ít hơn 2 tiếng,Rất tốt,Rất tốt,Không,Tốt,Còn thấp,Có,2,TRUE
15,19,Nữ,Ngành Kế toán,Có Chuyển Khi Nhập Học,2.7,Cao,2,Khác,Khác,Khá tốt,Đại Học,Đại Học,Nghỉ Hưu,Lao động tự do,Tốt,Tốt,Không,Không,Có,Có,Có,Có,Có,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Có,Tốt,Còn thấp,Có,4,TRUE
16,18,Nữ,Ngành Khoa học máy tính,Có Chuyển Khi Nhập Học,3.4,Thấp,3,Khác,Tiếng Việt,Không tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Khác,Không tốt,Tốt,Không,Không,Có,Có,Không,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Có,Tốt,Trung Bình,Không,0,FALSE
17,20,Nam,Ngành Kế toán,Có Chuyển Khi Hết Năm 1,2.6,Cao,6,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Đại Học,Nghỉ Hưu,Nghỉ Hưu,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Không,Không,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Chưa tốt,Còn thấp,Có,4,FALSE
18,19,Nữ,Ngành Truyền thông đa phương tiện,Có Chuyển Khi Nhập Học,3.6,Cao,9,Kinh,Tiếng Việt,Tốt,Đại Học,Cao Đẳng,Nội trợ,Lao động tự do,Không tốt,Không tốt,Không,Không,Không,Chưa bao giờ,Không,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Tốt,Không,Chưa tốt,Cao,Có,5,FALSE
19,20,Nam,Ngành Kỹ thuật Điện,Không,2.6,Cao,5,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Cao Đẳng,Nghỉ Hưu,Kinh doanh,Không tốt,Không tốt,Có,Không,Không,Có,Có,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Rất tốt,Có,Chưa tốt,Cao,Không,0,FALSE
20,19,Nữ,Ngành Thương mại Điện tử,Có Chuyển Khi Hết Năm 1,3.6,Thấp,8,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Đại Học,Nội trợ,Kinh doanh,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Rất tốt,Có,Tốt,Còn thấp,Có,1,FALSE
21,20,Nữ,Ngành Công nghệ Thực phẩm,Không,3.8,Thấp,9,Kinh,Tiếng Việt,Không tốt,Đại Học,Cao Đẳng,Nội trợ,Nghỉ Hưu,Tốt,Tốt,Có,Có,Có,Chưa bao giờ,Có,Có,Không,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Còn thấp,Không,0,FALSE
22,18,Nam,Ngành Kiến trúc,Có Chuyển Khi Nhập Học,1.5,Cao,9,Khác,Khác,Khá tốt,Sau Đại Học,Thấp hơn,Kinh doanh,Nội trợ,Không tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Không,Không,Không,Ít hơn 2 tiếng,Chưa tốt,Tốt,Có,Tốt,Trung Bình,Có,5,FALSE
23,20,Nam,Ngành Luật Kinh tế,Không,3.8,Cao,7,Khác,Tiếng Anh,Khá tốt,Cao Đẳng,Sau Đại Học,Nội trợ,Khác,Tốt,Tốt,Có,Không,Không,Chưa bao giờ,Không,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Chưa hài lòng,Có,Chưa tốt,Cao,Có,1,FALSE
24,19,Nam,Ngành Quản trị Dịch vụ Du lịch và Lữ hành,Có Chuyển Khi Hết Năm 1,3.2,Cao,7,Kinh,Tiếng Việt,Không tốt,Đại Học,Đại Học,Khác,Nghỉ Hưu,Không tốt,Không tốt,Có,Có,Có,Có,Có,Không,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Cao,Có,3,FALSE
25,19,Nữ,Ngành Quan hệ Công chúng,Có Chuyển Khi Hết Năm 1,1.1,Thấp,3,Khác,Tiếng Anh,Không tốt,Cao Đẳng,Cao Đẳng,Kinh doanh,Kinh doanh,Tốt,Không tốt,Có,Không,Có,Có,Có,Có,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Rất tốt,Có,Chưa tốt,Cao,Có,7,TRUE
26,18,Nam,Ngành Quản trị Sự kiện,Có Chuyển Khi Hết Năm 1,3.1,Cao,8,Khác,Tiếng Việt,Không tốt,Cao Đẳng,Thấp hơn,Nghỉ Hưu,Nội trợ,Không tốt,Tốt,Không,Có,Có,Có,Không,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Rất tốt,Có,Tốt,Cao,Không,0,FALSE
27,20,Nữ,Ngành Kiến trúc (CSU),Có Chuyển Khi Hết Năm 1,3.7,Thấp,4,Kinh,Tiếng Việt,Không tốt,Cao Đẳng,Thấp hơn,Nội trợ,Nghỉ Hưu,Không tốt,Không tốt,Có,Có,Không,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Có,7,FALSE
28,19,Nam,Ngành Công nghệ Kỹ thuật Môi trường,Có Chuyển Khi Nhập Học,1.2,Thấp,5,Kinh,Tiếng Việt,Tốt,Đại Học,Sau Đại Học,Nội trợ,Kinh doanh,Không tốt,Không tốt,Không,Có,Không,Có,Có,Không,Không,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Không,Chưa tốt,Còn thấp,Không,0,FALSE
29,20,Nữ,Ngành An toàn Thông tin,Có Chuyển Khi Hết Năm 1,3.5,Thấp,6,Kinh,Tiếng Việt,Tốt,Thấp hơn,Cao Đẳng,Lao động tự do,Nghỉ Hưu,Tốt,Tốt,Có,Không,Không,Có,Có,Không,Có,Nhiều hơn 2 tiếng,Rất tốt,Rất tốt,Có,Tốt,Trung Bình,Có,5,FALSE
30,20,Nữ,Chương trình Liên kết Du học MC 2+2,Có Chuyển Khi Nhập Học,1.1,Thấp,9,Khác,Tiếng Anh,Không tốt,Đại Học,Đại Học,Nội trợ,Kinh doanh,Tốt,Không tốt,Không,Có,Không,Có,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Không,0,TRUE
31,20,Nam,Ngành Răng-Hàm-Mặt,Có Chuyển Khi Hết Năm 1,3.6,Cao,3,Kinh,Tiếng Việt,Không tốt,Cao Đẳng,Thấp hơn,Kinh doanh,Lao động tự do,Không tốt,Tốt,Không,Không,Có,Có,Không,Có,Không,Nhiều hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Có,4,TRUE
32,20,Nữ,Ngành Truyền thông đa phương tiện,Có Chuyển Khi Hết Năm 1,2.3,Thấp,4,Khác,Tiếng Anh,Khá tốt,Đại Học,Đại Học,Khác,Nghỉ Hưu,Không tốt,Tốt,Có,Có,Có,Có,Không,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Rất tốt,Có,Tốt,Cao,Không,0,FALSE
33,18,Nam,Ngành Kinh tế Đầu tư,Không,1.2,Cao,8,Khác,Tiếng Anh,Không tốt,Sau Đại Học,Thấp hơn,Công chức nhà nước,Nội trợ,Không tốt,Tốt,Không,Có,Có,Chưa bao giờ,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Tốt,Không,Tốt,Trung Bình,Có,4,TRUE
34,20,Nữ,Ngành Việt Nam học,Không,1.5,Thấp,8,Kinh,Tiếng Việt,Tốt,Đại Học,Sau Đại Học,Kinh doanh,Nghỉ Hưu,Không tốt,Không tốt,Không,Có,Không,Có,Không,Có,Không,Nhiều hơn 2 tiếng,Tốt,Rất tốt,Có,Tốt,Cao,Có,4,FALSE
35,20,Nữ,Ngành Quản trị Dịch vụ Du lịch và Lữ hành,Có Chuyển Khi Hết Năm 1,2.6,Cao,7,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Thấp hơn,Nội trợ,Công chức nhà nước,Không tốt,Tốt,Có,Có,Có,Có,Có,Không,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Chưa tốt,Còn thấp,Có,2,TRUE
36,19,Nam,Ngành Kinh tế Đầu tư,Có Chuyển Khi Hết Năm 1,3.8,Thấp,2,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Thấp hơn,Lao động tự do,Công chức nhà nước,Tốt,Không tốt,Không,Không,Không,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Chưa hài lòng,Không,Tốt,Trung Bình,Có,1,TRUE
37,18,Nữ,Ngành Quản trị Kinh doanh (PSU),Có Chuyển Khi Hết Năm 1,2.3,Cao,7,Kinh,Tiếng Việt,Không tốt,Thấp hơn,Sau Đại Học,Lao động tự do,Kinh doanh,Tốt,Tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Không,Ít hơn 2 tiếng,Rất tốt,Rất tốt,Có,Tốt,Cao,Có,3,TRUE
38,18,Nam,Ngành An toàn Thông tin,Có Chuyển Khi Hết Năm 1,2,Thấp,4,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Sau Đại Học,Công chức nhà nước,Khác,Không tốt,Tốt,Không,Không,Có,Chưa bao giờ,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Không,0,FALSE
39,20,Nữ,Ngành Khoa học dữ liệu,Không,1.4,Thấp,6,Kinh,Tiếng Việt,Không tốt,Thấp hơn,Sau Đại Học,Khác,Khác,Không tốt,Không tốt,Không,Có,Có,Có,Không,Không,Có,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Tốt,Cao,Có,4,TRUE
40,20,Nam,Ngành Thiết kế Thời trang,Có Chuyển Khi Nhập Học,3.3,Cao,7,Kinh,Tiếng Việt,Khá tốt,Sau Đại Học,Thấp hơn,Lao động tự do,Công chức nhà nước,Tốt,Tốt,Không,Có,Không,Có,Có,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Chưa hài lòng,Có,Tốt,Cao,Có,6,FALSE
41,19,Nam,Ngành Kiến trúc Nội thất,Có Chuyển Khi Nhập Học,2,Thấp,5,Khác,Tiếng Anh,Không tốt,Thấp hơn,Cao Đẳng,Khác,Kinh doanh,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Không,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Chưa hài lòng,Không,Tốt,Cao,Có,2,FALSE
42,19,Nữ,Ngành Ngôn ngữ Anh,Không,2.3,Thấp,7,Khác,Khác,Không tốt,Thấp hơn,Sau Đại Học,Lao động tự do,Khác,Không tốt,Tốt,Có,Không,Có,Có,Có,Có,Không,Nhiều hơn 2 tiếng,Chưa tốt,Rất tốt,Không,Tốt,Cao,Có,1,FALSE
43,18,Nữ,Ngành Kỹ thuật Y sinh,Có Chuyển Khi Hết Năm 1,2.7,Cao,5,Kinh,Tiếng Việt,Tốt,Thấp hơn,Thấp hơn,Công chức nhà nước,Khác,Không tốt,Không tốt,Có,Có,Không,Có,Không,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Rất tốt,Rất tốt,Có,Chưa tốt,Trung Bình,Có,5,TRUE
44,20,Nam,Ngành Marketing,Không,1.1,Thấp,2,Kinh,Tiếng Việt,Tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Công chức nhà nước,Không tốt,Không tốt,Không,Có,Không,Có,Có,Có,Không,Ít hơn 2 tiếng,Rất tốt,Tốt,Không,Tốt,Cao,Không,0,TRUE
45,20,Nam,Ngành Kinh doanh Thương mại,Có Chuyển Khi Hết Năm 1,2.9,Thấp,5,Kinh,Tiếng Việt,Tốt,Thấp hơn,Đại Học,Nội trợ,Nội trợ,Không tốt,Tốt,Không,Không,Không,Chưa bao giờ,Có,Có,Không,Ít hơn 2 tiếng,Rất tốt,Rất tốt,Không,Tốt,Trung Bình,Có,5,FALSE
46,18,Nữ,Ngành Công nghệ Kỹ thuật Công trình Xây dựng,Có Chuyển Khi Hết Năm 1,2.2,Thấp,9,Kinh,Tiếng Việt,Tốt,Đại Học,Đại Học,Lao động tự do,Nghỉ Hưu,Không tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Chưa tốt,Chưa hài lòng,Không,Chưa tốt,Cao,Có,2,FALSE
47,18,Nữ,Ngành Kỹ thuật Xây dựng,Có Chuyển Khi Nhập Học,2.4,Cao,7,Kinh,Tiếng Việt,Không tốt,Cao Đẳng,Đại Học,Công chức nhà nước,Khác,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Không,Không,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Tốt,Có,Tốt,Trung Bình,Có,2,FALSE
48,18,Nữ,Ngành Công nghệ Kỹ thuật Ô tô,Không,1.3,Cao,1,Kinh,Tiếng Việt,Tốt,Thấp hơn,Sau Đại Học,Nội trợ,Lao động tự do,Không tốt,Không tốt,Có,Có,Có,Có,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Có,5,TRUE
49,18,Nam,Ngành Kỹ thuật Cơ điện tử,Không,2.6,Cao,8,Khác,Tiếng Việt,Khá tốt,Cao Đẳng,Sau Đại Học,Nội trợ,Khác,Tốt,Không tốt,Có,Không,Có,Có,Có,Không,Không,Nhiều hơn 2 tiếng,Tốt,Rất tốt,Không,Chưa tốt,Trung Bình,Có,4,TRUE
50,18,Nữ,Ngành Quản trị Kinh doanh,Có Chuyển Khi Nhập Học,2.4,Thấp,3,Khác,Tiếng Anh,Khá tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Nội trợ,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Có,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Tốt,Có,Chưa tốt,Trung Bình,Không,0,FALSE
51,18,Nữ,Ngành Kinh doanh Thương mại,Không,3.4,Thấp,7,Khác,Khác,Khá tốt,Cao Đẳng,Thấp hơn,Nội trợ,Kinh doanh,Tốt,Không tốt,Không,Có,Không,Chưa bao giờ,Không,Không,Có,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Chưa tốt,Rất tốt,Có,Chưa tốt,Còn thấp,Có,1,FALSE
52,20,Nữ,Chương trình Liên kết Du học Anh Quốc 3+1,Có Chuyển Khi Hết Năm 1,2.8,Thấp,1,Kinh,Tiếng Việt,Khá tốt,Cao Đẳng,Thấp hơn,Khác,Lao động tự do,Không tốt,Tốt,Có,Có,Không,Chưa bao giờ,Không,Không,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Chưa hài lòng,Có,Tốt,Trung Bình,Không,0,FALSE
53,19,Nam,Ngành Quan hệ Quốc tế,Không,1.4,Thấp,8,Khác,Khác,Không tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Nghỉ Hưu,Không tốt,Không tốt,Không,Không,Không,Có,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Rất tốt,Không,Tốt,Cao,Không,0,TRUE
54,20,Nữ,Ngành Ngôn ngữ Nhật,Không,1.4,Thấp,6,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Đại Học,Khác,Nghỉ Hưu,Tốt,Không tốt,Có,Không,Không,Chưa bao giờ,Không,Có,Không,Ít hơn 2 tiếng,Tốt,Chưa hài lòng,Không,Chưa tốt,Cao,Không,0,TRUE
55,20,Nam,Ngành Quản trị Khách sạn,Có Chuyển Khi Hết Năm 1,3.5,Thấp,4,Kinh,Tiếng Việt,Không tốt,Đại Học,Sau Đại Học,Công chức nhà nước,Công chức nhà nước,Không tốt,Không tốt,Không,Không,Không,Chưa bao giờ,Không,Không,Có,Nhiều hơn 2 tiếng,Tốt,Chưa hài lòng,Có,Chưa tốt,Trung Bình,Có,1,FALSE
56,20,Nữ,Ngành Thiết kế Đồ họa,Không,2,Thấp,6,Khác,Khác,Tốt,Sau Đại Học,Sau Đại Học,Kinh doanh,Lao động tự do,Tốt,Không tốt,Có,Có,Không,Chưa bao giờ,Không,Có,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Tốt,Có,Chưa tốt,Còn thấp,Không,0,TRUE
57,19,Nam,Ngành Kỹ thuật phần mềm (CMU),Có Chuyển Khi Hết Năm 1,3.2,Thấp,2,Kinh,Tiếng Việt,Khá tốt,Thấp hơn,Đại Học,Nghỉ Hưu,Nội trợ,Không tốt,Không tốt,Không,Có,Có,Có,Có,Không,Có,Nhiều hơn 2 tiếng,Tốt,Tốt,Không,Chưa tốt,Còn thấp,Có,6,TRUE
58,20,Nữ,Ngành Mạng Máy tính và Truyền thông Dữ liệu,Có Chuyển Khi Nhập Học,1.9,Cao,2,Khác,Khác,Không tốt,Sau Đại Học,Sau Đại Học,Nghỉ Hưu,Nghỉ Hưu,Tốt,Tốt,Không,Không,Có,Chưa bao giờ,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Tốt,Không,Chưa tốt,Còn thấp,Có,4,FALSE
59,18,Nam,Ngành Kiểm toán,Có Chuyển Khi Hết Năm 1,3.7,Thấp,5,Kinh,Tiếng Việt,Tốt,Thấp hơn,Cao Đẳng,Nghỉ Hưu,Nội trợ,Tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Có,Có,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Có,Chưa tốt,Trung Bình,Có,7,TRUE
60,19,Nữ,Ngành Thiết kế Thời trang,Không,1.9,Thấp,9,Khác,Tiếng Anh,Tốt,Sau Đại Học,Sau Đại Học,Nội trợ,Khác,Tốt,Tốt,Không,Không,Có,Có,Có,Có,Có,Nhiều hơn 2 tiếng,Chưa tốt,Chưa hài lòng,Có,Tốt,Còn thấp,Không,0,FALSE
61,18,Nữ,Ngành Logistics & Quản lý Chuỗi cung ứng,Có Chuyển Khi Hết Năm 1,1.3,Cao,3,Kinh,Tiếng Việt,Tốt,Thấp hơn,Đại Học,Nội trợ,Lao động tự do,Tốt,Không tốt,Không,Có,Có,Chưa bao giờ,Không,Có,Không,Trung bình 10 - 30 phút tôi kiểm tra một lần,Tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Không,0,TRUE
62,20,Nữ,Ngành Luật,Có Chuyển Khi Hết Năm 1,1.7,Thấp,7,Kinh,Tiếng Việt,Không tốt,Sau Đại Học,Thấp hơn,Kinh doanh,Lao động tự do,Không tốt,Tốt,Không,Không,Có,Chưa bao giờ,Có,Không,Có,Ít hơn 2 tiếng,Chưa tốt,Tốt,Không,Chưa tốt,Trung Bình,Có,3,FALSE
63,19,Nam,Ngành Ngôn Ngữ Hàn Quốc,Có Chuyển Khi Hết Năm 1,1.5,Thấp,4,Khác,Tiếng Việt,Không tốt,Cao Đẳng,Sau Đại Học,Công chức nhà nước,Nghỉ Hưu,Tốt,Tốt,Có,Có,Không,Chưa bao giờ,Không,Không,Không,Ít hơn 2 tiếng,Chưa tốt,Tốt,Có,Tốt,Còn thấp,Có,6,TRUE
64,20,Nữ,Ngành Logistics & Quản lý Chuỗi cung ứng,Có Chuyển Khi Nhập Học,3.2,Cao,4,Khác,Tiếng Việt,Tốt,Đại Học,Cao Đẳng,Khác,Công chức nhà nước,Tốt,Không tốt,Có,Không,Có,Chưa bao giờ,Có,Không,Không,"Tôi không dùng thường xuyên, ít hơn 30' mỗi ngày",Tốt,Tốt,Không,Chưa tốt,Cao,Có,4,FALSE
65,20,Nam,Ngành Ngôn ngữ Trung Quốc,Có Chuyển Khi Nhập Học,1.3,Cao,1,Kinh,Tiếng Việt,Không tốt,Thấp hơn,Cao Đẳng,Nghỉ Hưu,Nghỉ Hưu,Tốt,Không tốt,Có,Có,Không,Có,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Chưa hài lòng,Có,Chưa tốt,Còn thấp,Có,5,TRUE
66,18,Nữ,Ngành Du lịch,Không,3.3,Cao,7,Khác,Tiếng Việt,Không tốt,Cao Đẳng,Sau Đại Học,Lao động tự do,Kinh doanh,Tốt,Không tốt,Không,Không,Không,Có,Không,Không,Có,Ít hơn 2 tiếng,Chưa tốt,Rất tốt,Có,Tốt,Còn thấp,Có,4,TRUE
67,18,Nam,Chương trình Liên kết Du học Hoa Kỳ LCCC 1+1+2,Có Chuyển Khi Nhập Học,1.5,Cao,7,Kinh,Tiếng Việt,Tốt,Đại Học,Thấp hơn,Nội trợ,Khác,Tốt,Tốt,Có,Không,Có,Có,Có,Có,Có,Trung bình 10 - 30 phút tôi kiểm tra một lần,Rất tốt,Rất tốt,Không,Chưa tốt,Trung Bình,Có,4,FALSE
68,18,Nữ,Ngành Dược,Có Chuyển Khi Hết Năm 1,2.6,Thấp,7,Khác,Tiếng Anh,Khá tốt,Cao Đẳng,Cao Đẳng,Kinh doanh,Nội trợ,Không tốt,Tốt,Có,Không,Không,Chưa bao giờ,Có,Có,Không,Nhiều hơn 2 tiếng,Rất tốt,Tốt,Không,Chưa tốt,Còn thấp,Có,4,FALSE
